OBEC, ULICA, PSC, DPOSTA, OKRES
 Ábelová;;985 13;Ábelová;Lučenec
  Abovce;;980 44;Lenartovce;Rimavská Sobota
  Babiná;;962 61;Dobrá Niva;Zvolen
  Babinec;;980 26;Lukovištia;Rimavská Sobota
  Bacúch;;976 64;Beňuš;Brezno
  Bacúrov;;962 61;Dobrá Niva;Zvolen
  Báčovce;;962 68;Hontianske Tesáre;Krupina
  Baďan;;969 01;Banská Štiavnica 1;Banská Štiavnica
  Badín;;976 32;Badín;Banská Bystrica
  Bakta;;979 01;Rimavská Sobota 1;Rimavská Sobota
  Baláže;;976 11;Selce pri Banskej Bystrici;Banská Bystrica
  Balog nad Ipľom;;991 11;Balog nad Ipľom;Veľký Krtíš
  Banky;;969 01;Banská Štiavnica 1;Banská Štiavnica
  Banská Belá;;966 15;Banská Belá;Banská Štiavnica
  Banská Bystrica;29. augusta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;9. mája;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Agátová;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Alexandra Matušku;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Ametystová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Astrová;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Azalková;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Bagarova;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Bakossova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Banícka;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Bellušova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Bernolákova;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Beskydská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Bočná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Borievková;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Borovicová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Boženy Němcovej;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Brezová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Bronzová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Bučinová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Buková;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Cementárenská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Cesta k nemocnici;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Cesta k Smrečine;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Cesta na amfiteáter;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Cesta na štadión;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Cintorínska;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Čerešňová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;ČSA;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Dedinská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Dobšinského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Dolná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Dolná Strieborná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Družby;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Družstevná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Dubová;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Ďumbierska;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;F. Švantnera;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Fatranská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Figuša Bystrého;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Fraňa Kráľa;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Garbanka;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Gaštanová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Gerlachovská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Golianova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Gorkého;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Harmanecká cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Haškova;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Havranské;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Hečkova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Hlboká;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Horná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Horná Strieborná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Horné záhrady;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Hronská;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Hronské predm.;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Hrušková;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Hurbanova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Hutná;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Hviezdoslavova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Chabenecká;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Iliašská cesta;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Inovecká;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Internátna;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;J. Cikkera;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jabloňová;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Jakubská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jána Bottu;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jána Chalupku;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Janka Kráľa;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jarná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Jaseňová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Javornícka;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Javorová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Jazmínová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Jedľová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Jegorovova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jelšová;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jesenná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Jesenského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jilemnického;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Jiráskova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Jozefa Mistríka;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kalinčiakova;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;kpt. Jaroša;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;kpt. Nálepku;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Kapitulská;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Karpatská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Katovná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kollárova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Komenského;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kostiviarská cesta;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kráľovohoľská;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Krátka;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Kremnička;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Krivánska;974 11;Banská Bystrica 11;Banská Bystrica
  Banská Bystrica;Krížna;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kvetinová;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Kukučínova;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kuzmányho;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Kyjevské nám.;974 04;Banská Bystrica 4;Banská Bystrica
  Banská Bystrica;Laskomerská;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Lazovná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Lesná;974 01;Banská Bystrica 1;Banská Bystrica
  Banská Bystrica;Letná;974 05;Banská Bystrica 5;Banská Bystrica
  Banská Bystrica;Limbová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Lipová;974 09;Banská Bystrica 9;Banská Bystrica
  Banská Bystrica;Lúčičky;974 09;Banská Bystrica 9;Banská Bystrica
